,Theta,Input Phase Function
0,0.0,335.61304389604857
1,0.5,335.7195719103561
2,1.0,334.73426224856814
3,1.5,333.8059880081108
4,2.0,329.1190685340515
5,2.5,330.8130648915122
6,3.0,330.81167465864854
7,3.5,327.51304092426926
8,4.0,324.43573134121084
9,4.5,323.90397972767755
10,5.0,316.5885617313653
11,5.5,316.0430478505838
12,6.0,314.9973063003743
13,6.5,309.29781764486506
14,7.0,302.4324775902486
15,7.5,300.94693969670845
16,8.0,297.15172269838433
17,8.5,291.612235259686
18,9.0,289.43162750998965
19,9.5,280.44229200806694
20,10.0,276.14408685016116
21,10.5,269.71163302128224
22,11.0,262.118853627074
23,11.5,260.6695629483152
24,12.0,251.99300159438823
25,12.5,243.71771055934775
26,13.0,243.4273425815455
27,13.5,233.90957509054445
28,14.0,228.57581002242378
29,14.5,221.84923231405833
30,15.0,217.4902895409972
31,15.5,211.13352604014145
32,16.0,202.2741304688896
33,16.5,196.76189066007154
34,17.0,193.41382538715416
35,17.5,183.09191956977958
36,18.0,181.23611679886992
37,18.5,173.6769837052975
38,19.0,165.6492261334881
39,19.5,159.32638249190205
40,20.0,152.01659857885863
41,20.5,145.75517135963074
42,21.0,143.23125090635946
43,21.5,134.8428327128714
44,22.0,128.37890312913706
45,22.5,118.9221291155559
46,23.0,118.23761755011176
47,23.5,107.5069980736199
48,24.0,101.77064148854306
49,24.5,98.55059777136721
50,25.0,98.04705641904573
51,25.5,89.68524104461699
52,26.0,80.03437335659939
53,26.5,77.72234364531229
54,27.0,74.71445604873607
55,27.5,71.05042207613444
56,28.0,71.30238721671537
57,28.5,61.89428915403993
58,29.0,64.27910281027114
59,29.5,56.375591343817554
60,30.0,57.399688995905876
61,30.5,52.08180730240549
62,31.0,45.16928337220397
63,31.5,42.97399072140669
64,32.0,42.79184665895255
65,32.5,37.06621277541897
66,33.0,37.879995142761494
67,33.5,33.63298834196511
68,34.0,27.46320845643224
69,34.5,30.742577672850352
70,35.0,27.518506967491422
71,35.5,28.20240681391608
72,36.0,21.47893578847581
73,36.5,25.10458568953588
74,37.0,19.150799921777107
75,37.5,19.358979342010716
76,38.0,18.051372928661273
77,38.5,14.806475830387747
78,39.0,19.24414068399599
79,39.5,13.648534857885837
80,40.0,9.821982729131612
81,40.5,14.200838045050645
82,41.0,10.488384558852573
83,41.5,15.5252449458841
84,42.0,10.332844589856748
85,42.5,11.483686475707826
86,43.0,12.99526135716827
87,43.5,9.443012751421616
88,44.0,11.445863946755296
89,44.5,16.983103191988974
90,45.0,10.111521426844686
91,45.5,9.672250971127415
92,46.0,12.870706187637364
93,46.5,14.866216055614611
94,47.0,9.201465017817961
95,47.5,13.2575057279034
96,48.0,9.881584297325201
97,48.5,15.9070280125715
98,49.0,13.390356687516077
99,49.5,9.478335122485142
100,50.0,13.733974523134881
101,50.5,17.154938781179137
102,51.0,10.331194781194807
103,51.5,16.144301419675344
104,52.0,12.846053690798485
105,52.5,10.698668504676336
106,53.0,14.70696336648141
107,53.5,9.884143565963782
108,54.0,18.745400908647408
109,54.5,15.15433189197563
110,55.0,14.030911727802332
111,55.5,12.378423484905147
112,56.0,19.589622275399684
113,56.5,12.071418746832183
114,57.0,17.83023511385508
115,57.5,12.575511658036628
116,58.0,15.659642979883646
117,58.5,12.851062065479606
118,59.0,16.127538698824814
119,59.5,16.35592430272549
120,60.0,14.20432086274016
121,60.5,13.403846186772238
122,61.0,14.150355993540785
123,61.5,20.932862418797747
124,62.0,18.816997236121665
125,62.5,12.263817964197502
126,63.0,11.019203942318201
127,63.5,11.684857455521337
128,64.0,12.141466454722458
129,64.5,16.62892551061266
130,65.0,17.577237175149644
131,65.5,7.9870367336854615
132,66.0,13.560117978699074
133,66.5,10.134929163372664
134,67.0,10.235791612427949
135,67.5,12.612127998432085
136,68.0,6.600472216774201
137,68.5,7.134232201458453
138,69.0,9.067621527401288
139,69.5,10.743818591087162
140,70.0,10.497649112742659
141,70.5,12.362893384025666
142,71.0,6.058856111260094
143,71.5,10.990527042836794
144,72.0,8.428276940101213
145,72.5,5.132385670943435
146,73.0,13.432982489504823
147,73.5,8.498674254047849
148,74.0,4.974192883305154
149,74.5,6.556831402154148
150,75.0,0.19293706294362867
151,75.5,2.826816165943687
152,76.0,2.2244770331065946
153,76.5,13.056065507086682
154,77.0,4.333099746284478
155,77.5,3.3738610438828824
156,78.0,2.4370958258117867
157,78.5,0.4852198949121016
158,79.0,5.089095100730218
159,79.5,5.28249880513472
160,80.0,4.416792977623648
161,80.5,4.29792216060192
162,81.0,4.601850435224428
163,81.5,5.429766652144666
164,82.0,1.3642638785439747
165,82.5,-0.1894623184093991
166,83.0,3.850952187641642
167,83.5,3.706555893342043
168,84.0,6.870577110828075
169,84.5,5.498181003055507
170,85.0,6.8287805713584095
171,85.5,2.485397424987787
172,86.0,4.610158395807585
173,86.5,4.6064671185129935
174,87.0,2.250470144760512
175,87.5,6.067895923445018
176,88.0,4.943039045829531
177,88.5,2.865712199552365
178,89.0,3.960883204587914
179,89.5,4.934015396373342
180,90.0,-1.7308871853360568
181,90.5,6.356962914939549
182,91.0,5.219225954231561
183,91.5,-0.4223440043267406
184,92.0,2.361213986132127
185,92.5,8.279693974745921
186,93.0,6.797258854323414
