,Theta,Input Phase Function
0,0.0,397.0068249860119
1,0.5,381.06319915914725
2,1.0,388.7794354261094
3,1.5,366.9944767452234
4,2.0,316.01267901720746
5,2.5,375.94139683982064
6,3.0,352.7273451892895
7,3.5,325.36265841745717
8,4.0,287.3152944876523
9,4.5,341.7809054065399
10,5.0,357.65459452800184
11,5.5,349.2091842792463
12,6.0,313.29402302260405
13,6.5,257.63333236279436
14,7.0,349.65220227583916
15,7.5,332.565995639842
16,8.0,320.05215670945285
17,8.5,274.88531658127727
18,9.0,342.40100171636084
19,9.5,236.28658585177456
20,10.0,273.0122387608544
21,10.5,237.00785278565985
22,11.0,284.5429877975251
23,11.5,207.85151773129496
24,12.0,244.82494324353294
25,12.5,222.38207404201822
26,13.0,229.1606567073904
27,13.5,282.0350783541578
28,14.0,288.645287010702
29,14.5,232.73501639771993
30,15.0,243.95305725599997
31,15.5,211.22621139471457
32,16.0,207.57862428861
33,16.5,206.90653464747422
34,17.0,175.0177133919521
35,17.5,167.14006150192208
36,18.0,179.1297511995032
37,18.5,180.19465036402542
38,19.0,138.58874083425155
39,19.5,178.8010257938598
40,20.0,165.43712351464916
41,20.5,156.98732169783958
42,21.0,114.92403301977518
43,21.5,109.40296904903722
44,22.0,139.47697635574627
45,22.5,96.7766274855104
46,23.0,143.95098210921904
47,23.5,108.97627078061346
48,24.0,109.47107142007474
49,24.5,120.14095324742571
50,25.0,115.69187001354808
51,25.5,89.20668578809175
52,26.0,85.77222980848461
53,26.5,65.73616882505247
54,27.0,88.11893368655298
55,27.5,67.62668481849747
56,28.0,66.22303252024908
57,28.5,60.816457808183685
58,29.0,71.86161969698311
59,29.5,49.90908523982368
60,30.0,54.260458005008495
61,30.5,55.59395388012612
62,31.0,43.79495806783652
63,31.5,42.21997051148395
64,32.0,33.321447492422436
65,32.5,39.21756807163001
66,33.0,38.18921253992119
67,33.5,35.48241456531421
68,34.0,27.091625784888414
69,34.5,36.15785631690781
70,35.0,29.21384857583708
71,35.5,25.064538750204644
72,36.0,16.404908126587785
73,36.5,23.5913279091287
74,37.0,20.29345766910497
75,37.5,18.62445893645836
76,38.0,18.405910643043505
77,38.5,19.889557586129293
78,39.0,18.899512008257982
79,39.5,15.032632706305872
80,40.0,15.193073439603321
81,40.5,15.939750770617714
82,41.0,15.801197091644259
83,41.5,13.241354594440216
84,42.0,15.346783182865568
85,42.5,13.948597988428356
86,43.0,13.198994509425441
87,43.5,14.822261346010391
88,44.0,10.126783340063852
89,44.5,11.450514890482845
90,45.0,12.529519784227697
91,45.5,11.423857354786904
92,46.0,11.723089165550636
93,46.5,10.481949853702648
94,47.0,12.648415662435717
