,Theta,Input Phase Function
0,0.0,338.0374627724128
1,0.5,326.8690523655487
2,1.0,326.38788049757113
3,1.5,345.55828992183194
4,2.0,301.7144398912122
5,2.5,297.68602053927157
6,3.0,322.2903105763311
7,3.5,314.22713452532633
8,4.0,324.65805999603896
9,4.5,292.0687139245495
10,5.0,293.4180818004874
11,5.5,365.61432750201845
12,6.0,292.85284342182814
13,6.5,373.9590425404383
14,7.0,317.477201417459
15,7.5,285.2553834295046
16,8.0,298.3736734581986
17,8.5,209.2997797339238
18,9.0,214.12618340556259
19,9.5,293.2382918255919
20,10.0,261.85633068516626
21,10.5,269.45000333146567
22,11.0,273.4882128048025
23,11.5,295.4074707710829
24,12.0,229.51696234235843
25,12.5,251.74898961465524
26,13.0,190.49480212636647
27,13.5,223.5142347693123
28,14.0,189.66879629573825
29,14.5,191.33640582779037
30,15.0,201.0482776125649
31,15.5,217.67820226070458
32,16.0,225.41867698282255
33,16.5,169.22905858369236
34,17.0,217.53025973879008
35,17.5,185.22105898183648
36,18.0,205.12716877718134
37,18.5,155.65031926352458
38,19.0,135.18798561256253
39,19.5,154.04818036410194
40,20.0,157.11647311851118
41,20.5,151.02103529030893
42,21.0,163.21130258130592
43,21.5,150.28952725760143
44,22.0,136.7026149124355
45,22.5,111.96147913612896
46,23.0,145.2175986918541
47,23.5,110.23657057209842
48,24.0,90.5356337680687
49,24.5,109.83659392369152
50,25.0,89.48119638600423
51,25.5,103.75590054819276
52,26.0,90.22904924218683
53,26.5,72.02230554137151
54,27.0,70.22526147294315
55,27.5,73.33366727037661
56,28.0,64.0434062688319
57,28.5,59.1675982756276
58,29.0,62.854158005652906
59,29.5,61.20139883620644
60,30.0,55.01658640448444
61,30.5,48.86698833205523
62,31.0,46.474987443468365
63,31.5,43.21934255440485
64,32.0,44.66183828347843
65,32.5,34.48772745797968
66,33.0,36.951197700349226
67,33.5,31.31484639417685
68,34.0,33.229732786588286
69,34.5,32.00253499119984
70,35.0,28.2046755706855
71,35.5,27.3062089937273
72,36.0,25.307176265202877
73,36.5,21.9059369430629
74,37.0,22.494988895974014
75,37.5,17.448222348369242
76,38.0,17.977090924376913
77,38.5,19.718133965033527
78,39.0,14.774496857670526
79,39.5,15.779442090894985
80,40.0,14.033501498245538
81,40.5,16.098625941461982
82,41.0,13.361369758955604
83,41.5,14.681900895560105
84,42.0,13.884389540053828
85,42.5,12.131230171596501
86,43.0,11.991170913990404
87,43.5,13.611932500238785
88,44.0,12.047949179280302
89,44.5,9.376182256097545
90,45.0,13.027435853666848
91,45.5,12.366351379440443
92,46.0,11.841087735204027
93,46.5,14.816159403611254
94,47.0,9.635528046892336
95,47.5,13.498128723152714
96,48.0,11.339597601310906
97,48.5,12.879731271639585
98,49.0,13.125320282899883
99,49.5,14.132987898645595
100,50.0,10.097931457310873
101,50.5,13.787270741137853
102,51.0,12.252234061070334
103,51.5,12.665847990681787
104,52.0,13.382862398588944
105,52.5,15.935517821648197
106,53.0,15.968204062331939
107,53.5,14.970677824321058
108,54.0,15.891768095763952
109,54.5,16.941179441867703
110,55.0,13.449861629399786
111,55.5,14.989329333789398
112,56.0,15.190139814180041
113,56.5,17.942812163263767
114,57.0,16.413919822056474
115,57.5,14.475874560082948
116,58.0,16.427318532127316
117,58.5,14.99262580609732
118,59.0,15.119884839520951
119,59.5,14.675474918561584
120,60.0,14.903482019651973
121,60.5,16.391801233792663
122,61.0,15.392949091121064
123,61.5,14.704535250864284
124,62.0,14.311698497926981
125,62.5,13.268709266094085
126,63.0,15.4474779625621
127,63.5,13.885677053321183
128,64.0,12.203117382497915
129,64.5,13.894937963930472
130,65.0,12.336885125701453
131,65.5,13.168333498623197
132,66.0,8.8617019075499
133,66.5,15.057843516627639
134,67.0,13.151605360404961
135,67.5,9.971443115471606
136,68.0,11.316781741810912
137,68.5,11.021164914942307
138,69.0,11.624191610157958
139,69.5,10.376242444294347
140,70.0,11.47160387592952
141,70.5,7.547491290614719
142,71.0,9.832156393282341
143,71.5,9.064799147908136
144,72.0,9.66416677411726
145,72.5,10.16736383819907
146,73.0,8.708055674828485
147,73.5,7.525696478222016
148,74.0,7.226934272760327
149,74.5,7.255355683352429
150,75.0,6.078141336492848
151,75.5,6.757437078901754
152,76.0,5.93031286686608
153,76.5,5.852848744660977
154,77.0,5.206381627779399
155,77.5,7.340067171555062
156,78.0,5.526232291285778
157,78.5,5.553560236689176
158,79.0,5.004079300948538
159,79.5,4.432707498029416
160,80.0,5.10956127722561
161,80.5,4.815811739962669
162,81.0,4.29894877301559
163,81.5,4.275386768140822
164,82.0,3.9000240063197826
165,82.5,4.153743877546941
166,83.0,3.3708553311025637
167,83.5,4.3788222985882745
168,84.0,3.7333611047771442
169,84.5,3.4462843736723516
170,85.0,4.024312074170181
171,85.5,3.5846696831819505
172,86.0,3.473650234982149
173,86.5,3.6780888330206234
174,87.0,4.005518717665677
175,87.5,3.8688083229612227
176,88.0,4.00551309426398
177,88.5,4.096272081911208
178,89.0,3.552738534676751
179,89.5,4.727887310567716
180,90.0,3.9994588881959503
181,90.5,4.360510488513385
182,91.0,3.9025949771388326
183,91.5,4.604160448421438
184,92.0,3.9848470463386603
185,92.5,4.610462954157806
186,93.0,4.605647149253984
187,93.5,3.879039284708612
188,94.0,3.9133554994393784
189,94.5,4.163786015471275
190,95.0,4.067138082655373
191,95.5,4.283326118655331
192,96.0,3.2725899418137367
193,96.5,5.025703017407243
194,97.0,4.329489874718182
195,97.5,4.819895131120259
196,98.0,4.5960111842663744
197,98.5,5.282738613222835
198,99.0,4.458009529782186
199,99.5,4.053197175220362
200,100.0,4.638469880381685
201,100.5,5.12189011857156
202,101.0,3.279704583554416
203,101.5,4.754899101563058
204,102.0,4.8757073161520035
205,102.5,5.276847267242829
206,103.0,3.4132463375846283
207,103.5,4.267180049718736
208,104.0,4.035493446877604
209,104.5,4.25425989286903
210,105.0,3.710825671124
211,105.5,3.822191123258014
212,106.0,3.3260958089126387
213,106.5,3.3321079948608716
214,107.0,3.6211359877786577
215,107.5,3.0772714196388824
216,108.0,2.913304706381577
217,108.5,2.754136945717914
218,109.0,2.671247313787443
219,109.5,2.619323370383326
220,110.0,3.289790610947727
221,110.5,2.4617399072608337
222,111.0,2.3979088856897848
223,111.5,2.022611239172082
224,112.0,2.3890471797279624
225,112.5,1.9276430749184381
226,113.0,2.138363145475685
227,113.5,1.6960345929970309
228,114.0,2.012987463293048
229,114.5,1.654741869850545
230,115.0,2.10556904141144
231,115.5,1.8494280661000952
232,116.0,1.8199417912428288
233,116.5,1.7095632132911551
234,117.0,1.9749517992584873
235,117.5,1.672302892586262
236,118.0,1.492004000155262
237,118.5,1.7853902101347692
238,119.0,1.7494197825243343
239,119.5,1.5948480294766876
240,120.0,1.645698796102677
241,120.5,1.531967027098115
242,121.0,1.9543960354376932
243,121.5,2.2063334268991257
244,122.0,1.8671801318121815
245,122.5,2.1437272737069755
246,123.0,2.0712395747182932
247,123.5,2.34842739107277
248,124.0,2.0163661720014714
249,124.5,2.228549481097932
250,125.0,2.552838292632297
251,125.5,2.7620308381350602
252,126.0,2.9449240190200756
253,126.5,3.1942774941627605
254,127.0,3.0773313580622617
255,127.5,3.554229313713752
256,128.0,3.8134752850044498
257,128.5,3.4661138294183824
258,129.0,3.6685603474125883
259,129.5,4.065657120395848
260,130.0,4.034643300090424
261,130.5,3.75199833816164
262,131.0,4.6409051596758815
263,131.5,3.7623579030038785
264,132.0,5.172739701741749
265,132.5,5.188482904068235
266,133.0,5.03653103791727
267,133.5,5.395237275046097
268,134.0,5.193411022760158
269,134.5,5.015223837377206
270,135.0,4.913233116990146
271,135.5,4.967843326709257
272,136.0,6.0965161060315225
273,136.5,6.19663114067205
274,137.0,6.206267279503666
275,137.5,7.558126612570532
276,138.0,5.945942108381836
277,138.5,5.77338351845046
278,139.0,5.679678642628401
279,139.5,7.099618882551449
280,140.0,5.3710945287286105
281,140.5,7.282577066884739
282,141.0,6.811977895371143
283,141.5,5.877600726494464
284,142.0,7.6345542195801785
285,142.5,6.637129228223401
286,143.0,5.187564327448135
287,143.5,7.128318065153594
288,144.0,6.654982965922065
289,144.5,8.23955374884627
290,145.0,5.945348652829563
291,145.5,6.314159375577078
292,146.0,6.486613710473102
293,146.5,6.8504214080765
294,147.0,6.133482955438454
295,147.5,5.623720277447551
296,148.0,6.454807048346109
297,148.5,5.82852162311436
298,149.0,6.292953479669075
299,149.5,6.244032319813835
300,150.0,6.032875670297231
301,150.5,5.445467893104262
302,151.0,5.333754549870966
303,151.5,6.59405488684928
304,152.0,6.320640079080416
305,152.5,5.418358686820439
306,153.0,5.68084755027178
307,153.5,5.932627110141771
308,154.0,6.026406820822535
309,154.5,5.149510831059357
310,155.0,5.785505612949751
311,155.5,5.287809287810056
312,156.0,6.2131057943392145
313,156.5,5.186335534338256
314,157.0,6.130094430777053
315,157.5,6.183456458377417
316,158.0,4.812342058575819
317,158.5,5.981080947781363
318,159.0,6.55178878457978
319,159.5,5.749969859774417
320,160.0,5.815368458319288
321,160.5,5.562628295181356
322,161.0,7.095802659866528
323,161.5,6.437189712188496
324,162.0,6.47074625152734
325,162.5,6.493632875031764
326,163.0,6.804686145915903
327,163.5,7.003167796266474
328,164.0,8.259413983384347
329,164.5,6.549771357379606
330,165.0,7.08806231583694
331,165.5,6.833971789668593
332,166.0,6.977380306284573
333,166.5,7.423406856064692
334,167.0,7.865101567605917
335,167.5,8.563666396958096
336,168.0,8.31821745632313
337,168.5,7.256532153038195
338,169.0,8.202585026329919
339,169.5,8.833624538282082
340,170.0,9.459761255532747
341,170.5,9.992873429540841
342,171.0,10.002086896146213
343,171.5,10.717794932664281
344,172.0,10.457755761024965
345,172.5,9.234160812030726
346,173.0,9.711166487203137
347,173.5,10.017699559232218
348,174.0,10.421887197119613
349,174.5,9.049839070662154
350,175.0,11.605690565123929
351,175.5,11.056812845414598
352,176.0,10.67605131385278
353,176.5,9.881929385044316
354,177.0,9.994353965020519
355,177.5,11.73683647911242
356,178.0,12.763998073441138
357,178.5,12.907326049888432
358,179.0,9.55856942474693
359,179.5,13.167698362891585
360,180.0,10.30595252500517
