,Theta,Input Phase Function
0,10.0,264.222359110982
1,10.5,289.0957108928977
2,11.0,319.10205604512095
3,11.5,270.24912726922923
4,12.0,266.8089829956274
5,12.5,302.9770256868144
6,13.0,204.17480608282725
7,13.5,249.3241228806044
8,14.0,221.87509718471279
9,14.5,193.5902745272159
10,15.0,233.3247530377482
11,15.5,199.41847681751224
12,16.0,212.83355844427368
13,16.5,225.89760401997188
14,17.0,191.87702259500668
15,17.5,188.76827117985712
16,18.0,183.12609542993837
17,18.5,158.6391392580084
18,19.0,163.0925401802977
19,19.5,168.75265310642308
20,20.0,163.77435670326966
21,20.5,141.6750837012573
22,21.0,144.08253486020948
23,21.5,134.5236215913872
24,22.0,109.17828793267077
25,22.5,134.08917659332613
26,23.0,113.54208279230689
27,23.5,114.66190509334572
28,24.0,129.05050436787675
29,24.5,92.06063740329498
30,25.0,82.58510798256644
31,25.5,90.47944870508528
32,26.0,84.99283155373779
33,26.5,75.03481940064907
34,27.0,79.59145170839322
35,27.5,70.21390588979409
36,28.0,66.83902895852034
37,28.5,61.360409443380725
38,29.0,66.3777535229997
39,29.5,55.25746562730674
40,30.0,55.756519569720865
41,30.5,54.95180015499919
42,31.0,45.25277530064254
43,31.5,43.85218333615721
44,32.0,37.617667368092945
45,32.5,35.219876990698396
46,33.0,28.508770842438935
47,33.5,33.13455780809664
48,34.0,29.492445980536395
49,34.5,31.485043002886258
50,35.0,26.717931069796503
51,35.5,23.909971456945147
52,36.0,20.724260652221616
53,36.5,25.71836749498173
54,37.0,22.008227782248987
55,37.5,17.984473992700075
56,38.0,17.727075248850213
57,38.5,20.231906277506525
58,39.0,14.212528134431784
59,39.5,20.58897975662959
60,40.0,15.689714265038806
61,40.5,14.236492556825691
62,41.0,12.925326710987516
63,41.5,12.83678104236982
64,42.0,11.704734352492041
65,42.5,11.928069703369083
66,43.0,12.352002013607118
67,43.5,12.739297381099103
68,44.0,12.811986456454708
69,44.5,11.29289489601461
70,45.0,10.246762654415507
71,45.5,12.971714787825508
72,46.0,12.26667279416907
73,46.5,14.397287999944258
74,47.0,12.683294019258085
75,47.5,11.570717922084219
76,48.0,14.275479501821767
77,48.5,13.387619413599673
78,49.0,15.734322108753483
79,49.5,12.741455777691533
80,50.0,16.203771482723162
81,50.5,14.731957174376697
82,51.0,15.597156980340145
83,51.5,12.91816420875124
84,52.0,15.585208130723357
85,52.5,15.458083140740447
86,53.0,14.963100952875944
87,53.5,15.703692530550702
88,54.0,12.51356489809146
89,54.5,18.400811481485608
90,55.0,15.621395936481594
91,55.5,16.96751688040984
92,56.0,12.561414464427942
93,56.5,16.222954607645054
94,57.0,16.846400073859478
95,57.5,16.80055095574534
96,58.0,15.054452240738524
97,58.5,16.92764454208578
98,59.0,16.68309108265735
99,59.5,15.189892706411271
100,60.0,15.433529955809323
101,60.5,14.209905355698899
102,61.0,15.829206149844435
103,61.5,13.851033936788387
104,62.0,15.943046816030371
105,62.5,11.75759374021496
106,63.0,17.4547522372136
107,63.5,14.209951774031586
108,64.0,14.03292551831813
109,64.5,12.938299475034261
110,65.0,10.706658853838988
111,65.5,13.967525725800089
112,66.0,11.314747446507415
113,66.5,14.249211568207047
114,67.0,14.037139063820515
115,67.5,12.792346908434999
116,68.0,10.989313889671456
117,68.5,9.118091069897574
118,69.0,10.919273685972456
119,69.5,8.928909069379145
120,70.0,11.598790779830004
121,70.5,9.047768726112562
122,71.0,8.666581121389745
123,71.5,8.584233222543087
124,72.0,8.42278396060952
125,72.5,8.082438725178186
126,73.0,6.70262397287494
127,73.5,9.141144041271838
128,74.0,6.5673395134015236
129,74.5,6.632588541468128
130,75.0,6.6932866845348675
131,75.5,6.903845053046594
132,76.0,7.027732653455638
133,76.5,6.144287675952381
134,77.0,4.165038437431597
135,77.5,6.509824397722251
136,78.0,6.584005349035107
137,78.5,5.1898103370430135
138,79.0,5.868068656351122
139,79.5,5.076467295967424
140,80.0,4.561062830016831
141,80.5,3.2176234049774335
142,81.0,4.940678298509998
143,81.5,4.558645093128173
144,82.0,4.078533177887042
145,82.5,3.614133829439789
146,83.0,4.527912094491016
147,83.5,3.4762361123343073
148,84.0,4.491776417813288
149,84.5,4.15913566549411
150,85.0,3.3182262602270427
151,85.5,4.160694368277826
152,86.0,3.5210000872228817
153,86.5,3.916792077782842
154,87.0,4.172774894777067
155,87.5,3.2837951465727415
156,88.0,4.560661185789771
157,88.5,4.354270643470746
158,89.0,3.8827006235747277
159,89.5,4.232648930386692
160,90.0,3.7296188323061528
161,90.5,4.074961901967589
162,91.0,3.612545212513189
163,91.5,4.01372557599226
164,92.0,4.531737317822237
165,92.5,3.8732568897493187
166,93.0,4.171068867441894
167,93.5,4.6893203016006355
168,94.0,4.372285187268072
169,94.5,4.378483959976333
170,95.0,4.837303072521184
171,95.5,5.4429459867147445
172,96.0,4.670159738834051
173,96.5,3.625265065498266
174,97.0,3.8815355383049406
175,97.5,4.547814564087682
176,98.0,4.9566902316276265
177,98.5,4.039868000015137
178,99.0,3.7401606079100276
179,99.5,4.420378498609367
180,100.0,4.317474894054973
181,100.5,4.068136064095796
182,101.0,4.014084320943729
183,101.5,4.418722253879997
184,102.0,4.533359604402649
185,102.5,4.737152575890936
186,103.0,3.98955875166812
187,103.5,3.909669863903418
188,104.0,4.482137357798579
189,104.5,3.738166311339449
190,105.0,3.97160057850091
191,105.5,3.5563843510114572
192,106.0,3.919105654367831
193,106.5,3.7408987982162603
194,107.0,3.260902698988567
195,107.5,3.993015889454049
196,108.0,3.187057820615015
197,108.5,2.878318595903042
198,109.0,2.9319253178579507
199,109.5,3.2027625988234067
200,110.0,2.840524301275858
201,110.5,2.92736932765342
202,111.0,2.4298807524621093
203,111.5,2.6084037395099617
204,112.0,2.4234050645913854
205,112.5,1.9700526815437076
206,113.0,2.4364309958060986
207,113.5,2.091779498309916
208,114.0,2.3530994236685876
209,114.5,1.907746364807653
210,115.0,1.7830724064192234
211,115.5,1.731439129288663
212,116.0,1.8408996977601346
213,116.5,1.7514134001606896
214,117.0,1.8516921008480907
215,117.5,1.736448841391982
216,118.0,1.7542626206937146
217,118.5,1.7977018446034154
218,119.0,1.4320188146148674
219,119.5,1.8493115611811721
220,120.0,1.6631860661658324
221,120.5,1.8123284878043369
222,121.0,2.059611647507465
223,121.5,1.6648928148147184
224,122.0,1.956216145134723
225,122.5,2.0125245194908086
226,123.0,2.2553435546491896
227,123.5,2.01032129065719
228,124.0,2.4851546699185336
229,124.5,1.887483743928775
230,125.0,2.372810747868028
231,125.5,2.5244433238870263
